QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 9.2	 mr: 0.51	 nc: 0.2	 nm: 0.1	 bmp: 0.58	 cc: 2.65
	Repetition 0
		Population 0
			Robot 7 	f:345.81 	mf: 282.40
			Robot 8 	f:77.91 	mf: 349.99
			Robot 9 	f:282.47 	mf: 325.94
		Population 2
			Robot 0 	f:532.77 	mf: 390.15
			Robot 1 	f:154.47 	mf: 313.85
			Robot 2 	f:-552.37 	mf: 190.16
			Robot 3 	f:458.64 	mf: 324.51
			Robot 4 	f:498.27 	mf: 385.75
			Robot 5 	f:442.82 	mf: 437.04
			Robot 6 	f:509.26 	mf: 394.32
			Robot 7 	f:271.82 	mf: 273.50
			Robot 8 	f:454.60 	mf: 346.30
			Robot 9 	f:480.78 	mf: 364.88
		Population 3
			Robot 0 	f:589.32 	mf: 412.08
			Robot 1 	f:513.88 	mf: 317.72
			Robot 2 	f:163.66 	mf: 206.77
			Robot 3 	f:-3416.83 	mf: -108.12
			Robot 4 	f:297.53 	mf: 365.98
			Robot 5 	f:335.02 	mf: 431.68
			Robot 6 	f:257.56 	mf: 407.17
			Robot 7 	f:441.45 	mf: 274.42
			Robot 8 	f:81.95 	mf: 310.75
			Robot 9 	f:567.01 	mf: 387.37
		Population 4
			Robot 0 	f:428.87 	mf: 414.49
			Robot 1 	f:499.05 	mf: 337.00
			Robot 2 	f:355.57 	mf: 219.34
			Robot 3 	f:463.46 	mf: -71.10
			Robot 4 	f:422.39 	mf: 375.08
			Robot 5 	f:232.55 	mf: 409.94
			Robot 6 	f:120.31 	mf: 410.57
			Robot 7 	f:557.66 	mf: 296.99
			Robot 8 	f:417.96 	mf: 308.90
			Robot 9 	f:558.22 	mf: 422.45
		Population 5
			Robot 0 	f:403.96 	mf: 401.09
			Robot 1 	f:259.30 	mf: 345.64
			Robot 2 	f:535.90 	mf: 254.50
			Robot 3 	f:574.81 	mf: -53.06
			Robot 4 	f:568.67 	mf: 393.92
			Robot 5 	f:343.13 	mf: 394.83
			Robot 6 	f:407.72 	mf: 405.97
			Robot 7 	f:129.47 	mf: 288.50
			Robot 8 	f:427.09 	mf: 313.73
			Robot 9 	f:569.09 	mf: 435.37
		Population 6
			Robot 0 	f:495.74 	mf: 402.35
			Robot 1 	f:440.85 	mf: 363.24
			Robot 2 	f:568.55 	mf: 274.66
			Robot 3 	f:533.18 	mf: -4.57
			Robot 4 	f:-29.31 	mf: 338.03
			Robot 5 	f:341.36 	mf: 378.66
			Robot 6 	f:540.68 	mf: 413.01
			Robot 7 	f:306.20 	mf: 270.00
			Robot 8 	f:531.85 	mf: 331.23
			Robot 9 	f:451.15 	mf: 426.00
		Population 7
			Robot 0 	f:425.72 	mf: 399.11
			Robot 1 	f:320.52 	mf: 368.62
			Robot 2 	f:575.22 	mf: 333.82
			Robot 3 	f:390.92 	mf: 5.93
			Robot 4 	f:444.39 	mf: 333.18
			Robot 5 	f:411.12 	mf: 372.28
			Robot 6 	f:388.65 	mf: 420.35
			Robot 7 	f:538.72 	mf: 285.29
			Robot 8 	f:394.59 	mf: 345.43
			Robot 9 	f:579.56 	mf: 443.09
		Population 8
			Robot 0 	f:175.19 	mf: 369.85
			Robot 1 	f:478.93 	mf: 376.06
			Robot 2 	f:124.00 	mf: 292.96
			Robot 3 	f:432.71 	mf: 2.88
			Robot 4 	f:202.58 	mf: 329.33
			Robot 5 	f:552.01 	mf: 381.29
			Robot 6 	f:473.32 	mf: 417.78
			Robot 7 	f:461.53 	mf: 283.62
			Robot 8 	f:539.50 	mf: 375.78
			Robot 9 	f:394.27 	mf: 440.54
		Population 9
			Robot 0 	f:482.13 	mf: 448.61
			Robot 1 	f:418.77 	mf: 385.34
			Robot 2 	f:454.96 	mf: 305.30
			Robot 3 	f:528.44 	mf: 19.54
			Robot 4 	f:121.74 	mf: 306.08
			Robot 5 	f:565.47 	mf: 412.05
			Robot 6 	f:468.12 	mf: 408.17
			Robot 7 	f:306.69 	mf: 373.26
			Robot 8 	f:379.44 	mf: 367.21
			Robot 9 	f:578.58 	mf: 495.68
		Population 10
			Robot 0 	f:369.40 	mf: 433.68
			Robot 1 	f:477.49 	mf: 395.92
