QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
		Population 3
			Robot 0 	f: 0.00 	ga0: 0.57 	ga1: 3.57 	ga2: 0.26 	ga3: 0.03 	ga4: 0.01 	ga5: 0.04 	ga6: 0.00 	gb0: 0.12 	gb1: 0.75 	gb2: 0.21 	gb3: -0.26 	gb4: 0.10 	gb5: 2.24 	gb6: -1.66 	gb7: -0.27 	gb8: 1.23 	gb9: 0.60
			Robot 1 	f: 0.00 	ga0: 0.27 	ga1: 3.00 	ga2: 0.01 	ga3: 0.01 	ga4: 0.01 	ga5: 0.00 	ga6: 0.00 	gb0: 0.41 	gb1: 0.65 	gb2: -0.46 	gb3: -0.35 	gb4: 0.19 	gb5: 2.41 	gb6: -1.83 	gb7: -0.72 	gb8: 0.53 	gb9: 0.67
			Robot 2 	f: 0.00 	ga0: 0.52 	ga1: 5.32 	ga2: 0.10 	ga3: 0.18 	ga4: 0.29 	ga5: 0.17 	ga6: 0.02 	gb0: 0.18 	gb1: 0.31 	gb2: -0.32 	gb3: -0.52 	gb4: 0.60 	gb5: 2.04 	gb6: -1.83 	gb7: -0.62 	gb8: 0.44 	gb9: 0.58
			Robot 3 	f: 0.00 	ga0: 0.55 	ga1: 6.06 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.07 	gb1: 0.17 	gb2: -0.15 	gb3: -0.24 	gb4: -0.43 	gb5: 1.48 	gb6: -2.18 	gb7: -0.77 	gb8: 0.92 	gb9: 1.54
			Robot 4 	f: 0.00 	ga0: 0.64 	ga1: 3.49 	ga2: 0.02 	ga3: 0.05 	ga4: 0.21 	ga5: 0.00 	ga6: 0.00 	gb0: 0.19 	gb1: 0.17 	gb2: 0.23 	gb3: -0.20 	gb4: 0.27 	gb5: 1.50 	gb6: -1.35 	gb7: -0.71 	gb8: 0.99 	gb9: 0.81
			Robot 5 	f: 0.00 	ga0: 0.57 	ga1: 6.56 	ga2: 0.00 	ga3: 0.12 	ga4: 0.00 	ga5: 0.00 	ga6: 0.05 	gb0: 0.26 	gb1: 0.47 	gb2: -0.31 	gb3: -0.50 	gb4: -0.36 	gb5: 2.20 	gb6: -1.85 	gb7: -0.96 	gb8: 1.31 	gb9: 1.53
			Robot 6 	f: 0.00 	ga0: 0.30 	ga1: 6.98 	ga2: 0.00 	ga3: 0.10 	ga4: 0.00 	ga5: 0.22 	ga6: 0.00 	gb0: -0.22 	gb1: -0.12 	gb2: -0.04 	gb3: -0.02 	gb4: 0.38 	gb5: 2.42 	gb6: -2.09 	gb7: -0.13 	gb8: 1.01 	gb9: 1.33
			Robot 7 	f: 0.00 	ga0: 0.59 	ga1: 3.37 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.05 	ga6: 0.02 	gb0: -0.40 	gb1: 0.13 	gb2: -0.03 	gb3: -0.75 	gb4: 0.18 	gb5: 1.80 	gb6: -1.91 	gb7: -0.99 	gb8: 1.21 	gb9: 1.62
			Robot 8 	f: 0.00 	ga0: 0.59 	ga1: 6.84 	ga2: 0.02 	ga3: 0.20 	ga4: 0.02 	ga5: 0.00 	ga6: 0.01 	gb0: 0.45 	gb1: 0.09 	gb2: -0.07 	gb3: -0.21 	gb4: 0.50 	gb5: 1.42 	gb6: -1.82 	gb7: -0.21 	gb8: 0.57 	gb9: 1.38
			Robot 9 	f: 0.00 	ga0: 0.55 	ga1: 6.50 	ga2: 0.03 	ga3: 0.27 	ga4: 0.00 	ga5: 0.01 	ga6: 0.00 	gb0: 0.06 	gb1: -0.09 	gb2: 0.17 	gb3: -0.64 	gb4: -0.35 	gb5: 1.69 	gb6: -1.92 	gb7: -0.18 	gb8: 0.93 	gb9: 1.13
			Robot 10 	f: 0.00 	ga0: 0.48 	ga1: 6.88 	ga2: 0.11 	ga3: 0.03 	ga4: 0.01 	ga5: 0.05 	ga6: 0.02 	gb0: -0.08 	gb1: -0.17 	gb2: -0.14 	gb3: -0.11 	gb4: 0.01 	gb5: 1.72 	gb6: -1.76 	gb7: -0.19 	gb8: 0.60 	gb9: 1.27
			Robot 11 	f: 0.00 	ga0: 0.54 	ga1: 3.30 	ga2: 0.02 	ga3: 0.01 	ga4: 0.05 	ga5: 0.00 	ga6: 0.00 	gb0: -0.27 	gb1: 0.19 	gb2: 0.40 	gb3: -0.14 	gb4: 0.15 	gb5: 1.78 	gb6: -1.88 	gb7: -0.26 	gb8: 1.05 	gb9: 0.98
			Robot 12 	f: 0.00 	ga0: 0.59 	ga1: 6.80 	ga2: 0.00 	ga3: 0.07 	ga4: 0.04 	ga5: 0.12 	ga6: 0.10 	gb0: -0.02 	gb1: 0.79 	gb2: -0.53 	gb3: -0.08 	gb4: -0.14 	gb5: 2.27 	gb6: -1.56 	gb7: -0.28 	gb8: 0.47 	gb9: 1.27
			Robot 13 	f: 0.00 	ga0: 0.59 	ga1: 5.86 	ga2: 0.09 	ga3: 0.00 	ga4: 0.00 	ga5: 0.25 	ga6: 0.00 	gb0: -0.07 	gb1: 0.38 	gb2: 0.02 	gb3: -0.38 	gb4: -0.33 	gb5: 2.12 	gb6: -2.05 	gb7: -0.71 	gb8: 1.13 	gb9: 0.95
