QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 8 	f: -341.61 	ga0: -0.76 	ga1: 1.73 	ga2: 0.00 	ga3: 0.06 	ga4: 0.01 	ga5: 0.00 	ga6: 0.17 	gb0: -1.02 	gb1: 1.87 	gb2: 0.18 	gb3: 0.05 	gb4: 0.04 	gb5: -0.08 	gb6: -0.73 	gb7: -1.29 	gb8: 0.76 	gb9: -0.58
			Robot 9 	f: -568.60 	ga0: -1.83 	ga1: 7.24 	ga2: 0.06 	ga3: 0.00 	ga4: 0.03 	ga5: 0.04 	ga6: 0.00 	gb0: -1.63 	gb1: 5.02 	gb2: 0.25 	gb3: 0.06 	gb4: 0.11 	gb5: -0.06 	gb6: -0.97 	gb7: -1.25 	gb8: 0.92 	gb9: -0.56
			Robot 10 	f: -529.55 	ga0: -2.88 	ga1: 5.01 	ga2: 0.12 	ga3: 0.00 	ga4: 0.00 	ga5: 0.02 	ga6: 0.03 	gb0: -2.72 	gb1: 3.07 	gb2: 0.30 	gb3: 0.08 	gb4: 0.20 	gb5: -0.17 	gb6: -0.97 	gb7: -1.11 	gb8: 0.82 	gb9: -0.47
			Robot 11 	f: -567.87 	ga0: -0.62 	ga1: 3.50 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.04 	ga6: 0.27 	gb0: -0.94 	gb1: 2.94 	gb2: 0.30 	gb3: 0.04 	gb4: 0.05 	gb5: -0.17 	gb6: -0.66 	gb7: -1.15 	gb8: 0.79 	gb9: -0.47
			Robot 12 	f: -464.51 	ga0: -0.09 	ga1: 4.67 	ga2: 0.10 	ga3: 0.00 	ga4: 0.00 	ga5: 0.01 	ga6: 0.00 	gb0: -0.50 	gb1: 3.26 	gb2: 0.26 	gb3: 0.02 	gb4: 0.15 	gb5: -0.09 	gb6: -0.98 	gb7: -1.15 	gb8: 0.93 	gb9: -0.65
			Robot 13 	f: -589.76 	ga0: -2.42 	ga1: 6.18 	ga2: 0.02 	ga3: 0.12 	ga4: 0.09 	ga5: 0.00 	ga6: 0.00 	gb0: -2.14 	gb1: 3.98 	gb2: 0.18 	gb3: 0.02 	gb4: 0.09 	gb5: -0.25 	gb6: -0.99 	gb7: -1.12 	gb8: 0.89 	gb9: -0.52
			Robot 14 	f: 0.00 	ga0: 0.58 	ga1: 7.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.58 	gb1: 0.39 	gb2: 0.76 	gb3: 0.09 	gb4: 0.28 	gb5: -0.49 	gb6: -2.66 	gb7: -3.55 	gb8: 2.59 	gb9: -1.63
		Population 4
			Robot 0 	f: -590.65 	ga0: -4.89 	ga1: 7.10 	ga2: 0.00 	ga3: 0.08 	ga4: 0.17 	ga5: 0.17 	ga6: 0.00 	gb0: -2.98 	gb1: 4.74 	gb2: 0.22 	gb3: 0.16 	gb4: 0.15 	gb5: 0.01 	gb6: -0.81 	gb7: -1.17 	gb8: 0.82 	gb9: -0.62
			Robot 1 	f: -527.86 	ga0: -2.07 	ga1: 6.73 	ga2: 0.00 	ga3: 0.00 	ga4: 0.10 	ga5: 0.03 	ga6: 0.00 	gb0: -1.88 	gb1: 4.41 	gb2: 0.33 	gb3: -0.04 	gb4: 0.11 	gb5: -0.19 	gb6: -0.85 	gb7: -1.18 	gb8: 0.93 	gb9: -0.57
			Robot 2 	f: -579.73 	ga0: -0.62 	ga1: 7.01 	ga2: 0.00 	ga3: 0.11 	ga4: 0.18 	ga5: 0.00 	ga6: 0.00 	gb0: -0.76 	gb1: 4.62 	gb2: 0.35 	gb3: 0.21 	gb4: 0.13 	gb5: -0.06 	gb6: -0.95 	gb7: -1.08 	gb8: 0.75 	gb9: -0.62
			Robot 3 	f: 0.00 	ga0: 0.59 	ga1: 6.80 	ga2: 0.00 	ga3: 0.25 	ga4: 0.12 	ga5: 0.01 	ga6: 0.00 	gb0: 0.20 	gb1: 4.49 	gb2: 0.30 	gb3: 0.22 	gb4: 0.10 	gb5: -0.13 	gb6: -0.83 	gb7: -1.21 	gb8: 0.94 	gb9: -0.65
			Robot 4 	f: 0.00 	ga0: 0.58 	ga1: 4.58 	ga2: 0.17 	ga3: 0.00 	ga4: 0.00 	ga5: 0.11 	ga6: 0.00 	gb0: 0.15 	gb1: 2.71 	gb2: 0.37 	gb3: 0.03 	gb4: 0.02 	gb5: -0.07 	gb6: -0.89 	gb7: -1.13 	gb8: 0.83 	gb9: -0.55
			Robot 5 	f: 0.00 	ga0: 0.57 	ga1: 5.79 	ga2: 0.00 	ga3: 0.00 	ga4: 0.02 	ga5: 0.00 	ga6: 0.01 	gb0: 0.24 	gb1: 3.63 	gb2: 0.15 	gb3: 0.04 	gb4: 0.11 	gb5: -0.15 	gb6: -0.78 	gb7: -1.24 	gb8: 0.80 	gb9: -0.63
