QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 70
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 60
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 7 	f: 329.63 	mf: 269.00
			Robot 8 	f: 375.43 	mf: 270.80
			Robot 9 	f: 374.53 	mf: 267.60
		Population 37
			Robot 0 	f: 274.58 	mf: 272.40
			Robot 1 	f: 245.62 	mf: 287.20
			Robot 2 	f: 254.58 	mf: 305.40
			Robot 3 	f: 244.92 	mf: 255.40
			Robot 4 	f: 303.73 	mf: 247.40
			Robot 5 	f: 316.20 	mf: 331.00
			Robot 6 	f: 327.82 	mf: 323.20
			Robot 7 	f: 305.04 	mf: 263.20
			Robot 8 	f: 326.99 	mf: 261.40
			Robot 9 	f: 33.74 	mf: 211.20
		Population 38
			Robot 0 	f: 329.19 	mf: 290.00
			Robot 1 	f: 315.90 	mf: 293.40
			Robot 2 	f: 255.40 	mf: 290.40
			Robot 3 	f: 344.95 	mf: 254.20
			Robot 4 	f: 232.72 	mf: 293.80
			Robot 5 	f: 287.91 	mf: 325.40
			Robot 6 	f: 35.89 	mf: 269.20
			Robot 7 	f: 302.87 	mf: 254.00
			Robot 8 	f: 12.29 	mf: 194.80
			Robot 9 	f: 5.74 	mf: 145.20
		Population 39
			Robot 0 	f: 2.55 	mf: 252.20
			Robot 1 	f: 96.72 	mf: 256.60
			Robot 2 	f: 268.36 	mf: 296.20
			Robot 3 	f: 25.06 	mf: 251.40
			Robot 4 	f: 7.93 	mf: 225.00
			Robot 5 	f: 2.55 	mf: 253.20
			Robot 6 	f: 211.57 	mf: 239.60
			Robot 7 	f: 268.26 	mf: 307.40
			Robot 8 	f: 284.00 	mf: 251.40
			Robot 9 	f: 35.82 	mf: 152.20
		Population 40
			Robot 0 	f: 358.83 	mf: 259.80
			Robot 1 	f: 307.26 	mf: 263.60
			Robot 2 	f: 306.96 	mf: 285.80
			Robot 3 	f: 343.99 	mf: 255.40
			Robot 4 	f: 286.83 	mf: 229.60
			Robot 5 	f: 296.61 	mf: 248.00
			Robot 6 	f: 324.73 	mf: 243.80
			Robot 7 	f: 220.91 	mf: 284.80
			Robot 8 	f: 287.91 	mf: 256.80
			Robot 9 	f: 306.40 	mf: 150.60
		Population 41
			Robot 0 	f: 355.07 	mf: 263.60
			Robot 1 	f: 365.34 	mf: 265.60
			Robot 2 	f: 218.04 	mf: 260.20
			Robot 3 	f: 343.26 	mf: 259.80
			Robot 4 	f: 282.44 	mf: 222.00
			Robot 5 	f: 306.69 	mf: 241.40
			Robot 6 	f: 27.85 	mf: 184.80
			Robot 7 	f: 206.30 	mf: 260.20
			Robot 8 	f: 347.00 	mf: 251.20
			Robot 9 	f: 6.14 	mf: 77.00
		Population 42
			Robot 0 	f: 337.28 	mf: 276.20
			Robot 1 	f: 181.07 	mf: 252.80
			Robot 2 	f: 324.44 	mf: 274.20
			Robot 3 	f: 325.80 	mf: 276.00
			Robot 4 	f: 35.73 	mf: 168.40
			Robot 5 	f: 276.91 	mf: 233.40
			Robot 6 	f: 349.61 	mf: 189.20
			Robot 7 	f: 325.27 	mf: 264.20
			Robot 8 	f: 247.73 	mf: 235.40
			Robot 9 	f: 304.08 	mf: 131.20
		Population 43
			Robot 0 	f: 355.54 	mf: 281.40
			Robot 1 	f: 293.44 	mf: 248.40
			Robot 2 	f: 5.79 	mf: 224.20
			Robot 3 	f: 13.17 	mf: 209.80
			Robot 4 	f: 278.97 	mf: 177.60
			Robot 5 	f: 343.26 	mf: 244.60
			Robot 6 	f: 312.23 	mf: 244.60
			Robot 7 	f: 333.96 	mf: 270.40
			Robot 8 	f: 279.63 	mf: 288.80
			Robot 9 	f: 318.35 	mf: 193.80
		Population 44
			Robot 0 	f: 344.21 	mf: 349.80
			Robot 1 	f: 0.00 	mf: 229.20
			Robot 2 	f: 280.52 	mf: 226.60
			Robot 3 	f: 384.64 	mf: 281.60
			Robot 4 	f: 352.08 	mf: 246.60
			Robot 5 	f: 326.72 	mf: 309.40
			Robot 6 	f: 205.54 	mf: 243.40
			Robot 7 	f: 290.79 	mf: 274.80
			Robot 8 	f: 324.92 	mf: 296.80
			Robot 9 	f: 331.48 	mf: 253.00
		Population 45
			Robot 0 	f: 346.34 	mf: 347.40
			Robot 1 	f: 310.84 	mf: 229.80
			Robot 2 	f: 333.07 	mf: 232.00
			Robot 3 	f: 357.34 	mf: 284.40
