QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 5 	f: 0.00 	ga0: 0.54 	ga1: 0.85 	ga2: 0.00 	ga3: 0.14 	ga4: 0.01 	ga5: 0.01 	ga6: 0.16 	gb0: 0.15 	gb1: 0.46 	gb2: 0.40 	gb3: 0.13 	gb4: 0.53 	gb5: 1.60 	gb6: 2.51 	gb7: 0.02 	gb8: -2.67 	gb9: 1.43
			Robot 6 	f: 0.00 	ga0: 0.53 	ga1: 1.28 	ga2: 0.00 	ga3: 0.18 	ga4: 0.03 	ga5: 0.01 	ga6: 0.00 	gb0: 0.49 	gb1: -0.37 	gb2: 0.00 	gb3: 0.85 	gb4: -0.10 	gb5: 0.95 	gb6: 1.65 	gb7: -0.35 	gb8: -3.29 	gb9: 1.64
			Robot 7 	f: 0.00 	ga0: 0.53 	ga1: 1.00 	ga2: 0.00 	ga3: 0.17 	ga4: 0.00 	ga5: 0.00 	ga6: 0.02 	gb0: 0.18 	gb1: 0.48 	gb2: -0.29 	gb3: -0.30 	gb4: -0.12 	gb5: 0.93 	gb6: 2.27 	gb7: -0.60 	gb8: -3.09 	gb9: 1.56
			Robot 8 	f: 0.00 	ga0: 0.53 	ga1: 0.89 	ga2: 0.12 	ga3: 0.01 	ga4: 0.03 	ga5: 0.01 	ga6: 0.04 	gb0: 0.08 	gb1: 0.30 	gb2: 0.76 	gb3: 0.32 	gb4: 0.49 	gb5: 1.16 	gb6: 1.74 	gb7: -0.09 	gb8: -2.94 	gb9: 1.21
			Robot 9 	f: 0.00 	ga0: 0.55 	ga1: 0.66 	ga2: 0.00 	ga3: 0.10 	ga4: 0.04 	ga5: 0.03 	ga6: 0.09 	gb0: -0.21 	gb1: 0.47 	gb2: -0.05 	gb3: 0.24 	gb4: 0.42 	gb5: 0.89 	gb6: 1.64 	gb7: -0.36 	gb8: -3.08 	gb9: 1.89
			Robot 10 	f: 0.00 	ga0: 0.56 	ga1: 0.70 	ga2: 0.09 	ga3: 0.14 	ga4: 0.08 	ga5: 0.14 	ga6: 0.00 	gb0: 0.13 	gb1: -0.26 	gb2: -0.05 	gb3: 0.46 	gb4: -0.04 	gb5: 0.87 	gb6: 1.69 	gb7: -0.43 	gb8: -2.38 	gb9: 1.93
			Robot 11 	f: 0.00 	ga0: 0.48 	ga1: 1.19 	ga2: 0.00 	ga3: 0.03 	ga4: 0.26 	ga5: 0.00 	ga6: 0.17 	gb0: 0.20 	gb1: 0.61 	gb2: -0.19 	gb3: 0.02 	gb4: 0.12 	gb5: 0.98 	gb6: 2.26 	gb7: -0.61 	gb8: -2.50 	gb9: 2.07
			Robot 12 	f: 0.00 	ga0: 0.57 	ga1: 0.59 	ga2: 0.00 	ga3: 0.15 	ga4: 0.00 	ga5: 0.04 	ga6: 0.32 	gb0: -0.04 	gb1: 0.24 	gb2: 0.46 	gb3: 0.62 	gb4: 0.01 	gb5: 1.15 	gb6: 1.71 	gb7: -0.41 	gb8: -3.16 	gb9: 1.42
			Robot 13 	f: 0.00 	ga0: 0.34 	ga1: 0.91 	ga2: 0.00 	ga3: 0.02 	ga4: 0.05 	ga5: 0.15 	ga6: 0.16 	gb0: 0.02 	gb1: 0.11 	gb2: 0.36 	gb3: 0.07 	gb4: 0.00 	gb5: 1.45 	gb6: 1.76 	gb7: -0.45 	gb8: -2.97 	gb9: 1.86
			Robot 14 	f: 0.00 	ga0: 0.55 	ga1: 0.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.83 	gb1: 0.31 	gb2: 0.78 	gb3: 0.83 	gb4: 0.27 	gb5: 3.72 	gb6: 6.01 	gb7: -0.79 	gb8: -8.66 	gb9: 4.82
		Population 4
			Robot 0 	f: 0.00 	ga0: 0.55 	ga1: 0.62 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.63 	gb1: -0.19 	gb2: 0.38 	gb3: 0.67 	gb4: 0.32 	gb5: 1.57 	gb6: 2.21 	gb7: -0.11 	gb8: -2.81 	gb9: 1.67
			Robot 1 	f: 0.00 	ga0: 0.55 	ga1: 0.95 	ga2: 0.00 	ga3: 0.01 	ga4: 0.01 	ga5: 0.06 	ga6: 0.00 	gb0: 0.76 	gb1: 0.18 	gb2: 0.07 	gb3: 0.60 	gb4: -0.32 	gb5: 0.94 	gb6: 1.75 	gb7: 0.06 	gb8: -2.52 	gb9: 1.30
			Robot 2 	f: 0.00 	ga0: 0.64 	ga1: 1.04 	ga2: 0.00 	ga3: 0.07 	ga4: 0.20 	ga5: 0.00 	ga6: 0.02 	gb0: 0.53 	gb1: 0.05 	gb2: 0.35 	gb3: 0.13 	gb4: 0.27 	gb5: 1.45 	gb6: 2.03 	gb7: 0.07 	gb8: -2.89 	gb9: 1.94
			Robot 3 	f: 0.00 	ga0: 0.54 	ga1: 0.88 	ga2: 0.00 	ga3: 0.08 	ga4: 0.00 	ga5: 0.01 	ga6: 0.02 	gb0: -0.27 	gb1: 0.40 	gb2: 0.14 	gb3: 0.50 	gb4: -0.35 	gb5: 1.72 	gb6: 2.33 	gb7: -0.16 	gb8: -3.08 	gb9: 2.06
			Robot 4 	f: 0.00 	ga0: 0.55 	ga1: 0.72 	ga2: 0.12 	ga3: 0.00 	ga4: 0.00 	ga5: 0.28 	ga6: 0.00 	gb0: 0.66 	gb1: -0.23 	gb2: -0.13 	gb3: 0.19 	gb4: -0.31 	gb5: 1.09 	gb6: 2.47 	gb7: -0.11 	gb8: -3.31 	gb9: 1.89
			Robot 5 	f: 0.00 	ga0: 0.54 	ga1: 0.72 	ga2: 0.00 	ga3: 0.07 	ga4: 0.01 	ga5: 0.14 	ga6: 0.08 	gb0: -0.14 	gb1: 0.34 	gb2: 0.66 	gb3: 0.72 	gb4: 0.08 	gb5: 1.29 	gb6: 1.71 	gb7: 0.10 	gb8: -2.88 	gb9: 1.46
			Robot 6 	f: 0.00 	ga0: 0.54 	ga1: 1.04 	ga2: 0.00 	ga3: 0.19 	ga4: 0.02 	ga5: 0.00 	ga6: 0.00 	gb0: 0.37 	gb1: 0.27 	gb2: -0.14 	gb3: 0.01 	gb4: 0.23 	gb5: 1.34 	gb6: 2.06 	gb7: -0.63 	gb8: -3.38 	gb9: 1.88
			Robot 7 	f: 0.00 	ga0: 0.54 	ga1: 0.90 	ga2: 0.00 	ga3: 0.24 	ga4: 0.00 	ga5: 0.03 	ga6: 0.01 	gb0: 0.16 	gb1: -0.22 	gb2: 0.21 	gb3: 0.44 	gb4: -0.34 	gb5: 0.93 	gb6: 2.51 	gb7: -0.62 	gb8: -3.08 	gb9: 1.41
			Robot 8 	f: 0.00 	ga0: 0.54 	ga1: 0.85 	ga2: 0.06 	ga3: 0.01 	ga4: 0.01 	ga5: 0.01 	ga6: 0.02 	gb0: -0.19 	gb1: -0.23 	gb2: 0.37 	gb3: -0.03 	gb4: 0.57 	gb5: 1.68 	gb6: 2.12 	gb7: -0.04 	gb8: -2.84 	gb9: 1.59
			Robot 9 	f: 0.00 	ga0: 0.55 	ga1: 0.73 	ga2: 0.00 	ga3: 0.05 	ga4: 0.24 	ga5: 0.01 	ga6: 0.05 	gb0: 0.25 	gb1: -0.22 	gb2: 0.49 	gb3: 0.59 	gb4: -0.12 	gb5: 0.78 	gb6: 2.33 	gb7: -0.09 	gb8: -2.69 	gb9: 1.73
			Robot 10 	f: 0.00 	ga0: 0.55 	ga1: 0.75 	ga2: 0.04 	ga3: 0.07 	ga4: 0.04 	ga5: 0.07 	ga6: 0.00 	gb0: 0.71 	gb1: 0.37 	gb2: 0.27 	gb3: 0.47 	gb4: -0.27 	gb5: 1.58 	gb6: 2.18 	gb7: -0.73 	gb8: -2.70 	gb9: 1.42
