QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3.54	 mr: 0.9	 nc: 0.25	 nm: 0.17	 bmp: 0.6	 cc: 2.56
	Repetition 0
		Population 0
			Robot 12 	f: 267.32 	ga0: -8.84 	ga1: 2.38 	ga2: 0.63 	ga3: 0.59 	ga4: 0.49 	ga5: 0.78 	ga6: 0.38 	gb0: -8.42 	gb1: 1.23 	gb2: 0.69 	gb3: 0.58 	gb4: 0.43 	gb5: 0.58 	gb6: 0.37 	gb7: -0.18 	gb8: 0.05 	gb9: -0.04
			Robot 13 	f: -516.66 	ga0: -9.54 	ga1: -1.81 	ga2: 0.66 	ga3: 0.26 	ga4: 0.42 	ga5: 0.54 	ga6: 0.74 	gb0: -9.10 	gb1: -1.52 	gb2: 0.45 	gb3: 0.27 	gb4: 0.37 	gb5: 0.48 	gb6: 0.59 	gb7: -0.19 	gb8: -0.08 	gb9: -0.11
			Robot 14 	f: 42.31 	ga0: -9.54 	ga1: -2.13 	ga2: 0.58 	ga3: 0.58 	ga4: 0.47 	ga5: 0.46 	ga6: 0.58 	gb0: -8.96 	gb1: -1.99 	gb2: 0.44 	gb3: 0.54 	gb4: 0.37 	gb5: 0.47 	gb6: 0.52 	gb7: -0.01 	gb8: -0.02 	gb9: 0.08
		Population 4
			Robot 0 	f: 383.96 	ga0: -8.80 	ga1: -2.14 	ga2: 0.48 	ga3: 0.47 	ga4: 0.23 	ga5: 0.70 	ga6: 0.49 	gb0: -8.35 	gb1: -2.10 	gb2: 0.38 	gb3: 0.51 	gb4: 0.12 	gb5: 0.62 	gb6: 0.32 	gb7: 0.04 	gb8: -0.05 	gb9: 799097888732344221696.00
			Robot 1 	f: -107.00 	ga0: -9.54 	ga1: -4.27 	ga2: 0.45 	ga3: 0.25 	ga4: 0.22 	ga5: 0.54 	ga6: 0.65 	gb0: -9.09 	gb1: -3.53 	gb2: 0.35 	gb3: 0.19 	gb4: 0.08 	gb5: 0.67 	gb6: 0.72 	gb7: -0.03 	gb8: 0.00 	gb9: 799097888732344221696.00
			Robot 2 	f: 387.88 	ga0: -9.50 	ga1: -4.15 	ga2: 0.42 	ga3: 0.46 	ga4: 0.28 	ga5: 0.63 	ga6: 0.43 	gb0: -8.90 	gb1: -3.46 	gb2: 0.37 	gb3: 0.45 	gb4: 0.36 	gb5: 0.56 	gb6: 0.42 	gb7: -0.14 	gb8: -0.06 	gb9: 799097888732344221696.00
			Robot 3 	f: 400.25 	ga0: -9.59 	ga1: 1.96 	ga2: 0.42 	ga3: 0.51 	ga4: 0.49 	ga5: 0.50 	ga6: 0.58 	gb0: -9.10 	gb1: 1.15 	gb2: 0.50 	gb3: 0.30 	gb4: 0.28 	gb5: 0.35 	gb6: 0.65 	gb7: -0.18 	gb8: -0.01 	gb9: 799097888732344221696.00
			Robot 4 	f: 159.12 	ga0: -9.54 	ga1: -2.89 	ga2: 0.66 	ga3: 0.39 	ga4: 0.44 	ga5: 0.59 	ga6: 0.68 	gb0: -8.89 	gb1: -2.68 	gb2: 0.58 	gb3: 0.45 	gb4: 0.34 	gb5: 0.68 	gb6: 0.65 	gb7: -0.12 	gb8: -0.08 	gb9: 799097888732344221696.00
			Robot 5 	f: -145.57 	ga0: -8.35 	ga1: -3.63 	ga2: 0.36 	ga3: 0.42 	ga4: 0.17 	ga5: 0.61 	ga6: 0.51 	gb0: -8.02 	gb1: -3.22 	gb2: 0.47 	gb3: 0.29 	gb4: 0.04 	gb5: 0.65 	gb6: 0.53 	gb7: -0.17 	gb8: 0.13 	gb9: 799097888732344221696.00
			Robot 6 	f: 649.42 	ga0: -8.76 	ga1: -2.09 	ga2: 0.64 	ga3: 0.52 	ga4: 0.13 	ga5: 0.64 	ga6: 0.63 	gb0: -8.23 	gb1: -1.86 	gb2: 0.50 	gb3: 0.51 	gb4: 0.04 	gb5: 0.62 	gb6: 0.63 	gb7: 0.03 	gb8: 0.05 	gb9: 799097888732344221696.00
			Robot 7 	f: 327.33 	ga0: -9.54 	ga1: 0.27 	ga2: 0.43 	ga3: 0.30 	ga4: 0.28 	ga5: 0.84 	ga6: 0.62 	gb0: -8.92 	gb1: -0.11 	gb2: 0.36 	gb3: 0.19 	gb4: 0.12 	gb5: 0.82 	gb6: 0.64 	gb7: -0.14 	gb8: 0.05 	gb9: 799097888732344221696.00
