QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 120
PointsCollision: -150
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 8 	f: 2.40 	mf: 0.80
			Robot 9 	f: 0.00 	mf: 113.60
		Population 37
			Robot 0 	f: 0.48 	mf: 88.80
			Robot 1 	f: 0.00 	mf: 36.80
			Robot 2 	f: 7.68 	mf: 64.80
			Robot 3 	f: 180.78 	mf: 41.80
			Robot 4 	f: 0.00 	mf: 135.20
			Robot 5 	f: 0.00 	mf: 30.80
			Robot 6 	f: 1.92 	mf: 64.00
			Robot 7 	f: 9.63 	mf: 230.00
			Robot 8 	f: 13.08 	mf: 3.40
			Robot 9 	f: 0.00 	mf: 80.60
		Population 38
			Robot 0 	f: 405.76 	mf: 169.80
			Robot 1 	f: 113.52 	mf: 58.00
			Robot 2 	f: 12.11 	mf: 64.80
			Robot 3 	f: 394.90 	mf: 120.60
			Robot 4 	f: 307.65 	mf: 116.20
			Robot 5 	f: 0.00 	mf: 30.20
			Robot 6 	f: 197.14 	mf: 103.40
			Robot 7 	f: 101.85 	mf: 182.20
			Robot 8 	f: 49.76 	mf: 13.20
			Robot 9 	f: 396.53 	mf: 159.80
		Population 39
			Robot 0 	f: 405.76 	mf: 169.80
			Robot 1 	f: 113.52 	mf: 58.00
			Robot 2 	f: 12.11 	mf: 64.80
			Robot 3 	f: 394.90 	mf: 120.60
			Robot 4 	f: 307.65 	mf: 116.20
			Robot 5 	f: 0.00 	mf: 30.20
			Robot 6 	f: 197.14 	mf: 103.40
			Robot 7 	f: 101.85 	mf: 182.20
			Robot 8 	f: 49.76 	mf: 13.20
			Robot 9 	f: 396.53 	mf: 159.80
	finalFitness: 182
	Repetition 1
		Population 0
			Robot 0 	f: 364.67 	mf: 157.00
			Robot 1 	f: 0.00 	mf: 58.00
			Robot 2 	f: 3.03 	mf: 65.00
			Robot 3 	f: 0.00 	mf: 145.40
			Robot 4 	f: 377.29 	mf: 232.00
			Robot 5 	f: 1.12 	mf: 39.80
			Robot 6 	f: 0.00 	mf: 91.00
			Robot 7 	f: 32.20 	mf: 87.00
			Robot 8 	f: 11.55 	mf: 72.40
			Robot 9 	f: 27.25 	mf: 95.40
		Population 1
			Robot 0 	f: 5.12 	mf: 154.80
			Robot 1 	f: 13.03 	mf: 25.20
			Robot 2 	f: 0.48 	mf: 4.40
			Robot 3 	f: 374.34 	mf: 220.20
			Robot 4 	f: 3.90 	mf: 185.40
			Robot 5 	f: 279.93 	mf: 66.00
			Robot 6 	f: -36.84 	mf: 36.20
			Robot 7 	f: 0.00 	mf: 85.00
			Robot 8 	f: 4.16 	mf: 72.80
			Robot 9 	f: -28.45 	mf: 89.80
		Population 2
			Robot 0 	f: 380.69 	mf: 230.80
			Robot 1 	f: 0.00 	mf: 25.20
			Robot 2 	f: 316.36 	mf: 66.20
			Robot 3 	f: 372.58 	mf: 258.60
			Robot 4 	f: 305.60 	mf: 246.40
			Robot 5 	f: 0.00 	mf: 66.00
			Robot 6 	f: 359.66 	mf: 107.80
			Robot 7 	f: 366.40 	mf: 156.40
			Robot 8 	f: 409.70 	mf: 152.00
			Robot 9 	f: 337.96 	mf: 157.20
		Population 3
			Robot 0 	f: 0.00 	mf: 149.80
			Robot 1 	f: 28.96 	mf: 8.20
			Robot 2 	f: 322.79 	mf: 128.20
			Robot 3 	f: 427.71 	mf: 265.20
			Robot 4 	f: 0.00 	mf: 185.00
			Robot 5 	f: 0.00 	mf: 66.00
			Robot 6 	f: 320.73 	mf: 132.40
			Robot 7 	f: 439.70 	mf: 224.00
			Robot 8 	f: 0.00 	mf: 142.20
			Robot 9 	f: 0.96 	mf: 78.00
		Population 4
			Robot 0 	f: 392.47 	mf: 228.20
			Robot 1 	f: 306.89 	mf: 69.40
			Robot 2 	f: 348.92 	mf: 197.80
			Robot 3 	f: 34.15 	mf: 241.40
			Robot 4 	f: 294.78 	mf: 195.80
			Robot 5 	f: 153.27 	mf: 86.60
			Robot 6 	f: 360.62 	mf: 200.60
			Robot 7 	f: 0.00 	mf: 167.40
			Robot 8 	f: 332.36 	mf: 151.20
			Robot 9 	f: 384.37 	mf: 144.00
		Population 5
			Robot 0 	f: 21.76 	mf: 159.60
			Robot 1 	f: 56.08 	mf: 80.60
			Robot 2 	f: 4.80 	mf: 198.00
			Robot 3 	f: 4.80 	mf: 242.20
			Robot 4 	f: 314.39 	mf: 183.20
			Robot 5 	f: 0.00 	mf: 86.40
			Robot 6 	f: 24.94 	mf: 205.40
			Robot 7 	f: 11.83 	mf: 163.20
			Robot 8 	f: 126.45 	mf: 174.20
			Robot 9 	f: 14.91 	mf: 141.40
		Population 6
			Robot 0 	f: 10.79 	mf: 160.60
			Robot 1 	f: 0.00 	mf: 78.00
			Robot 2 	f: 11.92 	mf: 200.20
			Robot 3 	f: 0.96 	mf: 167.40
			Robot 4 	f: 292.49 	mf: 241.00
			Robot 5 	f: 14.37 	mf: 33.40
			Robot 6 	f: 0.00 	mf: 212.60
			Robot 7 	f: 22.72 	mf: 167.60
			Robot 8 	f: 0.00 	mf: 173.40
			Robot 9 	f: 8.62 	mf: 148.60
		Population 7
			Robot 0 	f: 0.00 	mf: 84.60
			Robot 1 	f: 17.17 	mf: 81.40
			Robot 2 	f: 2.72 	mf: 137.40
			Robot 3 	f: 41.14 	mf: 101.20
			Robot 4 	f: 0.00 	mf: 180.00
			Robot 5 	f: 400.73 	mf: 113.40
			Robot 6 	f: 0.85 	mf: 140.80
			Robot 7 	f: 40.12 	mf: 102.40
			Robot 8 	f: 0.80 	mf: 91.60
			Robot 9 	f: 40.27 	mf: 89.20
		Population 8
			Robot 0 	f: 11.04 	mf: 86.80
			Robot 1 	f: 0.00 	mf: 75.80
			Robot 2 	f: 12.56 	mf: 75.40
			Robot 3 	f: 154.10 	mf: 46.60
			Robot 4 	f: 107.08 	mf: 201.40
			Robot 5 	f: 310.58 	mf: 175.40
			Robot 6 	f: 1.28 	mf: 77.00
			Robot 7 	f: 204.82 	mf: 55.40
			Robot 8 	f: 0.00 	mf: 91.60
			Robot 9 	f: 12.50 	mf: 91.60
		Population 9
			Robot 0 	f: 12.75 	mf: 10.80
			Robot 1 	f: 0.00 	mf: 14.60
			Robot 2 	f: -4568.79 	mf: -907.80
			Robot 3 	f: 0.00 	mf: 39.80
			Robot 4 	f: 0.80 	mf: 142.60
			Robot 5 	f: 216.02 	mf: 188.00
			Robot 6 	f: 388.89 	mf: 82.60
			Robot 7 	f: -4560.49 	mf: -856.60
			Robot 8 	f: 379.52 	mf: 101.00
			Robot 9 	f: 0.00 	mf: 14.80
		Population 10
			Robot 0 	f: 340.85 	mf: 74.60
			Robot 1 	f: 73.26 	mf: 18.00
			Robot 2 	f: 0.00 	mf: -908.60
			Robot 3 	f: 0.00 	mf: 39.00
			Robot 4 	f: 325.47 	mf: 144.80
			Robot 5 	f: 0.00 	mf: 188.00
			Robot 6 	f: 344.78 	mf: 146.60
			Robot 7 	f: 263.84 	mf: -806.20
			Robot 8 	f: 162.63 	mf: 108.20
			Robot 9 	f: 0.00 	mf: 12.00
		Population 11
			Robot 0 	f: 349.39 	mf: 142.40
			Robot 1 	f: 0.00 	mf: 18.00
			Robot 2 	f: 36.89 	mf: -903.60
			Robot 3 	f: 0.00 	mf: 39.00
			Robot 4 	f: 0.00 	mf: 86.40
			Robot 5 	f: 32.36 	mf: 191.60
			Robot 6 	f: 9.60 	mf: 148.40
			Robot 7 	f: 1.12 	mf: -810.40
			Robot 8 	f: 1.60 	mf: 108.40
			Robot 9 	f: 0.00 	mf: 10.40
		Population 12
			Robot 0 	f: 27.28 	mf: 147.80
			Robot 1 	f: 373.22 	mf: 89.20
			Robot 2 	f: 57.64 	mf: -892.60
			Robot 3 	f: 89.35 	mf: 48.60
			Robot 4 	f: 7.68 	mf: 87.80
			Robot 5 	f: 0.00 	mf: 111.60
			Robot 6 	f: 5.44 	mf: 149.40
			Robot 7 	f: 35.25 	mf: -811.40
			Robot 8 	f: 204.88 	mf: 149.20
			Robot 9 	f: 213.47 	mf: 45.00
		Population 13
			Robot 0 	f: 0.00 	mf: 145.60
			Robot 1 	f: 1.12 	mf: 89.40
			Robot 2 	f: 0.00 	mf: -895.00
