QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 6.86	 mr: 0.58	 nc: 0.6	 nm: 0.59	 bmp: 0.62	 cc: 0.03
	Repetition 0
		Population 0
			Robot 0 	f: 370.93 	mf: 408.47
			Robot 1 	f: 354.18 	mf: 268.17
			Robot 2 	f: 170.04 	mf: 276.97
			Robot 3 	f: 257.60 	mf: 396.48
			Robot 4 	f: 288.05 	mf: 378.00
			Robot 5 	f: 300.12 	mf: 333.32
			Robot 6 	f: 471.28 	mf: 437.89
			Robot 7 	f: 337.93 	mf: 392.17
			Robot 8 	f: 330.67 	mf: 299.48
			Robot 9 	f: 287.17 	mf: 347.19
		Population 3
			Robot 0 	f: 94.08 	mf: 353.52
			Robot 1 	f: 285.31 	mf: 271.06
			Robot 2 	f: 379.00 	mf: 272.79
			Robot 3 	f: 502.97 	mf: 399.52
			Robot 4 	f: 428.10 	mf: 367.35
			Robot 5 	f: 235.48 	mf: 364.38
			Robot 6 	f: 510.31 	mf: 450.23
			Robot 7 	f: 431.98 	mf: 379.26
			Robot 8 	f: 436.02 	mf: 310.34
			Robot 9 	f: 328.28 	mf: 331.99
		Population 4
			Robot 0 	f: 429.47 	mf: 338.30
			Robot 1 	f: 306.24 	mf: 254.87
			Robot 2 	f: 389.44 	mf: 271.37
			Robot 3 	f: 478.13 	mf: 399.43
			Robot 4 	f: 334.90 	mf: 356.70
			Robot 5 	f: 423.47 	mf: 367.57
			Robot 6 	f: 516.60 	mf: 476.50
			Robot 7 	f: 468.55 	mf: 385.76
			Robot 8 	f: 419.96 	mf: 318.01
			Robot 9 	f: 294.74 	mf: 297.33
		Population 5
			Robot 0 	f: 369.74 	mf: 323.54
			Robot 1 	f: 278.35 	mf: 240.33
			Robot 2 	f: 475.75 	mf: 304.15
			Robot 3 	f: 553.75 	mf: 412.21
			Robot 4 	f: 465.68 	mf: 366.52
			Robot 5 	f: 311.80 	mf: 340.04
			Robot 6 	f: 547.86 	mf: 509.73
			Robot 7 	f: 452.86 	mf: 394.13
			Robot 8 	f: 493.42 	mf: 367.99
			Robot 9 	f: 412.77 	mf: 280.61
		Population 6
			Robot 0 	f: 310.18 	mf: 313.02
			Robot 1 	f: 423.63 	mf: 286.70
			Robot 2 	f: 409.88 	mf: 335.19
			Robot 3 	f: 560.16 	mf: 446.37
			Robot 4 	f: 521.50 	mf: 398.57
			Robot 5 	f: 441.44 	mf: 355.93
			Robot 6 	f: 548.02 	mf: 506.32
			Robot 7 	f: 466.13 	mf: 416.42
			Robot 8 	f: 510.44 	mf: 403.06
			Robot 9 	f: 281.36 	mf: 310.18
		Population 7
			Robot 0 	f: 426.90 	mf: 333.55
			Robot 1 	f: 326.50 	mf: 329.04
			Robot 2 	f: 509.50 	mf: 388.94
			Robot 3 	f: 406.33 	mf: 459.82
			Robot 4 	f: 349.34 	mf: 397.93
			Robot 5 	f: 378.07 	mf: 348.40
			Robot 6 	f: 530.79 	mf: 520.81
			Robot 7 	f: 519.55 	mf: 446.17
			Robot 8 	f: 412.76 	mf: 433.88
			Robot 9 	f: 255.31 	mf: 309.94
		Population 8
			Robot 0 	f: 469.65 	mf: 350.00
			Robot 1 	f: 426.55 	mf: 341.10
			Robot 2 	f: 531.70 	mf: 449.21
			Robot 3 	f: 248.72 	mf: 458.34
			Robot 4 	f: 453.77 	mf: 425.55
			Robot 5 	f: 290.61 	mf: 346.81
			Robot 6 	f: 522.99 	mf: 529.43
			Robot 7 	f: 462.96 	mf: 467.01
			Robot 8 	f: 256.82 	mf: 421.57
			Robot 9 	f: 432.43 	mf: 334.15
		Population 9
			Robot 0 	f: 509.14 	mf: 419.18
			Robot 1 	f: 452.15 	mf: 368.91
			Robot 2 	f: 498.03 	mf: 469.05
